Agent Name,Agent Address,Agent City,FY 20 Net Sales
JASON'S VARIETY,270 N MAIN ST,ACUSHNET,"$962,221.00"
POLISH NATIONAL ALLIANCE,13 VICTORY ST,ADAMS,$600.00
PINE BROOK PUB,128  COLUMBIA STREET,ADAMS,"$9,574.00"
RACING MART,73 COLUMBIA STREET,ADAMS,"$17,286.00"
ADAMS TURNERS,6 TURNERS AVE,ADAMS,"$24,233.00"
FOREST PARK COUNTRY CLUB,41 FOREST PARK AVE,ADAMS,"$39,032.00"
THE MOUNTAIN CLUB,6 ANTHONY STREET,ADAMS,"$68,807.50"
THE VIKING PUB,83 COMMERCIAL ST,ADAMS,"$150,496.00"
ADAMS HOMETOWN MARKET,1 MYRTLE STREET,ADAMS,"$243,443.25"
O'GEARY'S PACKAGE,60 COMMERCIAL ST,ADAMS,"$261,540.75"
O'GEARY'S PACKAGE,60 COMMERCIAL ST,ADAMS,"$290,735.50"
AJ'S TRAILSIDE PUB,12 PLEASANT STREET,ADAMS,"$524,794.00"
RACING MART,73 COLUMBIA STREET,ADAMS,"$564,430.25"
OASIS LIQUOR STORE,35 SPRING STREET,ADAMS,"$1,001,936.00"
VAL'S VARIETY1,5 COLUMBIA ST,ADAMS,"$1,784,658.75"
CUMBERLAND #6690,46 COMMERCIAL ST,ADAMS,"$1,855,736.00"
7-ELEVEN 32495,223 COLUMBIA ST,ADAMS,"$1,944,845.75"
MOBIL,160 HOWLAND AVENUE,ADAMS,"$2,095,793.50"
TOWNE TAP ROOM,378 WALNUT ST EXT,AGAWAM,"$2,502.00"
GOODIES DELI & VARIETY,300 SPRINGFIELD ST,AGAWAM,"$36,713.75"
TOWNE TAP ROOM,378 WALNUT ST EXT,AGAWAM,"$51,134.00"
MAIN STREET FOOD MARKET,713 MAIN STREET,AGAWAM,"$65,386.50"
MC CARTHYS LIQUORS,430 MAIN ST,AGAWAM,"$108,384.75"
EZ MART,1672 MAIN ST,AGAWAM,"$141,267.75"
KAPTAIN JIMMYS,916 SUFFIELD STREET,AGAWAM,"$211,033.00"
RIVERSIDE LIQUORS,1811 MAIN STREET,AGAWAM,"$212,654.25"
MURPHY'S PUB,664 SUFFIELD STREET,AGAWAM,"$236,863.75"
TOWNE LIQUORS,384 WALNUT ST,AGAWAM,"$241,837.25"
CHEERS LIQUORS,416 SPRINGFIELD ST,AGAWAM,"$260,325.00"
CHEERS DISCOUNT,416 SPRINGFIELD ST,AGAWAM,"$312,835.50"
BUCCANEERS LOUNGE,84-86 MAPLE ST,AGAWAM,"$428,577.50"
RIVERBOAT BAR & GRILL,11-13 SOUTH END CIR,AGAWAM,"$490,887.00"
SOUTHGATE LIQUORS,842 SUFFIELD ST,AGAWAM,"$499,745.75"
FERRENTINO PIZZARIA & PUB,1676 MAIN STREET,AGAWAM,"$515,917.00"
THE STILL,63 SPRINGFIELD ST,AGAWAM,"$534,850.00"
SCOREBOARD BAR & RESTAURANT,15 KING ST,AGAWAM,"$651,656.75"
GEISSLER'S SUPERMARKET,830 SUFFIELD ST,AGAWAM,"$654,001.75"
CUMBERLAND #0201,837 SUFFIELD ST,AGAWAM,"$1,005,698.50"
SOUTHBRIDGE CONV,1 SOUTH BRIDGE RD,AGAWAM,"$1,061,657.00"
GOODIES CONVENIENCE,300 SPRINGFIELD ST,AGAWAM,"$1,384,729.25"
ONE STOP MART,308 SUFFIELD STREET,AGAWAM,"$1,439,588.25"
NOURIA  #4047,6 LELAND AVE,AGAWAM,"$1,580,937.75"
QUICK PIC,1 RIVER RD,AGAWAM,"$1,777,801.75"
GAYATRI FOOD MART,18 SPRINGFIELD STREET,AGAWAM,"$1,837,187.25"
