Agent Name,Agent Address,Agent City,FY 20 Net Sales
MILAGROS MARKET II,202 FERRY STREET,EVERETT,"$115,639.50"
MCCORMACK'S LIQUORS,82 HANCOCK ST,EVERETT,"$118,958.00"
ALL CHECKS CASHED,1998 REVERE BEACH PKY,EVERETT,"$122,217.00"
NEIGHBORHOOD CONVENIENCE,115 MAIN ST,EVERETT,"$156,384.50"
POSADA MARKET,69 HANCOCK STREET,EVERETT,"$171,442.50"
MCKINNON BROS INC,620 BROADWAY,EVERETT,"$181,284.75"
HO WIN PALACE RESTAURANT,22 EVERETT AVENUE,EVERETT,"$186,773.25"
NICHOLS STREET MARKET,82 NICHOLS STREET,EVERETT,"$192,009.75"
MILAGROS MARKET,279 MAIN STREET,EVERETT,"$197,194.75"
SALINAS CONVENIENCE,187 MAIN ST,EVERETT,"$197,719.50"
BROADWAY LIQUORS,22 NORWOOD STREET,EVERETT,"$231,310.50"
EL VALLE DE LA SULTANA MKT,716 BROADWAY,EVERETT,"$245,072.25"
WOODY'S PARKWAY PUB,1812 REVERE BEACH PKY,EVERETT,"$253,161.50"
PIT STOP CONVENIENCE,35 EVERETT AVENUE,EVERETT,"$253,204.75"
THE LINE STEAK & BREW,10 WOODLAWN AVE,EVERETT,"$261,389.50"
CARRANZAS MARKET,415 FERRY ST,EVERETT,"$270,211.75"
LATIN MARKET,362 FERRY STREET,EVERETT,"$296,877.25"
LAS PALMAS MARKET  II,451 FERRY ST,EVERETT,"$303,726.25"
SUPER JC MARKET,67 CHELSEA STREET,EVERETT,"$309,163.75"
KIM'S CONVENIENCE,570 BROADWAY,EVERETT,"$341,279.50"
REGINA FOOD STORE,203 MAIN STREET,EVERETT,"$368,501.25"
JIMMY'S LIQUORS,409 MAIN ST,EVERETT,"$375,099.25"
ZEKE'S PUB,63 CHELSEA ST,EVERETT,"$486,273.00"
FIORENTINO'S LIQUORS,123 FERRY ST,EVERETT,"$517,975.00"
U S CONVENIENCE,131 FERRY ST,EVERETT,"$521,263.50"
7-ELEVEN 40081,1894 REVERE BEACH PKY,EVERETT,"$522,690.50"
CASELLA'S LIQUOR MART,1940 REVERE BEACH PKWY,EVERETT,"$542,868.25"
THE CORNER STORE,63 BUCKNAM STREET,EVERETT,"$559,079.25"
SAMYS CONVENIENCE STORE,399 FERRY STREET,EVERETT,"$605,765.00"
EVERETT SUNOCO,1707 REVERE BEACH PKWY,EVERETT,"$688,963.25"
LUCKY MART,2029 REVERE BEACH PKWY,EVERETT,"$743,491.50"
STOP & SHOP #492,1690 REVERE BCH PKWY,EVERETT,"$841,513.50"
EVERETT VARIETY STORE,82 MAIN STREET,EVERETT,"$867,852.50"
BILL'S VARIETY,141 HANCOCK STREET,EVERETT,"$873,403.00"
KIPO'S MARKET,42 BRADFORD STREET,EVERETT,"$1,044,583.00"
7-ELEVEN 37378,188 CHELSEA ST,EVERETT,"$1,115,848.00"
ELM STREET MARKET,172 ELM ST,EVERETT,"$1,126,113.00"
STAR CONVENIENCE BEER & WINE,178 CHELSEA STREET,EVERETT,"$1,131,262.00"
GLENDALE PACKAGE,315 FERRY ST,EVERETT,"$1,190,310.25"
UNION STREET MARKET,140 UNION ST,EVERETT,"$1,246,435.50"
FINE MART CONVENIENCE STORE,201 ELM ST,EVERETT,"$1,269,960.50"
7-ELEVEN 37518,511 BROADWAY,EVERETT,"$1,272,121.75"
LUCKY SMOKE SHOP,423 BROADWAY,EVERETT,"$1,286,973.00"
FINE MART CONVENIENCE,180 FERRY ST,EVERETT,"$1,440,571.50"
DAN'S CONVENIENT MART,103 HANCOCK ST,EVERETT,"$1,469,532.25"
DOLLAR VARIETY,456 BROADWAY,EVERETT,"$1,635,812.00"
THE CORNER STORE,5 SYCAMORE ST,EVERETT,"$1,707,636.50"
7-ELEVEN 37377,280 MAIN ST,EVERETT,"$1,742,363.75"
7-ELEVEN,543 FERRY ST,EVERETT,"$1,747,989.50"
RT 16 SMOKE SHOP,1885 REVERE BEACH PRKWY,EVERETT,"$1,780,674.50"
CITGO EXPRESS MART,318 BROADWAY,EVERETT,"$1,999,155.75"
J S MART,398 MAIN ST,EVERETT,"$2,033,204.50"
BROADWAY MARKET,880 BROADWAY,EVERETT,"$2,059,765.50"
ENCORE,ONE BROADWAY,EVERETT,"$2,402,979.75"
EVERETT SQ CONVENIENCE,445 BROADWAY,EVERETT,"$2,822,311.25"
RT 99 SMOKE SHOP,893 BROADWAY,EVERETT,"$3,463,080.50"
F J MORIARTY LIQUORS,101 MIDDLE ST,FAIRHAVEN,$499.75
AMERICAN LEGION 166,54 MAIN ST,FAIRHAVEN,"$1,076.00"
TRAVELER'S ALE HOUSE,111 HUTTLESTON AVE,FAIRHAVEN,"$1,463.00"
OLD OXFORD PUB,346 MAIN ST,FAIRHAVEN,"$69,264.50"
FORT PHOENIX POST # 2892,109 MIDDLE ST,FAIRHAVEN,"$131,499.00"
TOWN CRIER,5 MAITLAND ST,FAIRHAVEN,"$223,933.00"
CENTER LIQUORS,101 MIDDLE ST,FAIRHAVEN,"$230,473.50"
PEOPLES SUPER LIQUOR,1 PEOPLES WAY,FAIRHAVEN,"$287,846.75"
PAULS SPORTS CORNER,19 HOWLAND RD,FAIRHAVEN,"$316,173.00"
CARDOZAS WINE & SPIRITS,6 SCONTICUT NECK ROAD,FAIRHAVEN,"$405,880.25"
BAYSIDE LOUNGE,125 SCOTINCUT NECK ROAD,FAIRHAVEN,"$425,616.50"
BRIDGE ST MOBIL,277 BRIDGE STREET,FAIRHAVEN,"$667,257.00"
CONNOLLY'S LIQUOR MART,36 HOWLAND RD,FAIRHAVEN,"$728,694.25"
SOUTHCOAST WINE & SPIRITS,355 HUTTLETON AVE,FAIRHAVEN,"$730,607.50"
ICE HOUSE BAR & GRILL,136 HUTTLESTON AVE,FAIRHAVEN,"$753,848.00"
FAIRHAVEN GAS MINI MART,130 HUTTLESTON AVENUE,FAIRHAVEN,"$762,985.00"
STOP & SHOP #427,221 HUTTLESON AVE,FAIRHAVEN,"$915,674.75"
CUMBERLAND #2244,89-95 HUTTLESON AVE,FAIRHAVEN,"$934,289.50"
CUMBERLAND #2288,68 MAIN ST,FAIRHAVEN,"$981,525.75"
SEABREEZE MINI MART,235 MAIN ST,FAIRHAVEN,"$1,041,403.75"
FAIRHAVEN WINE & SPIRITS,105 SCONTICUT NECK RD,FAIRHAVEN,"$1,436,098.50"
SCUTTLEBUTTS LIQUORS,407 MAIN STREET,FAIRHAVEN,"$1,627,428.25"
FRIENDLY FARM CONVENIENCE,121 SCONTICUT NECK RD,FAIRHAVEN,"$1,682,316.50"
7-ELEVEN 33057-A,188 HUTTLESTON AVE,FAIRHAVEN,"$2,014,849.00"
NEIGHBORHOOD VARIETY,52 NORTH MAIN STREET,FALL RIVER,$31.00
DOVER VARIETY,32-34 DOVER STREET,FALL RIVER,$260.00
DUNK N MUNCH,1393 RODMAN ST,FALL RIVER,$859.00
RIVERSIDE SPORTS BAR,31 RODMAN STREET,FALL RIVER,"$9,238.00"
PATTI'S PIEROGIS,1019 S MAIN  ST,FALL RIVER,"$13,003.00"
CHECK EXPRESS,1433 S MAIN ST,FALL RIVER,"$13,693.00"
TIM BUC II'S,63 WEBSTER STREET,FALL RIVER,"$16,955.00"
DUNK-N-MUNCH,4263 N MAIN ST,FALL RIVER,"$21,296.00"
CVS  ATTN:  LOTTERY,1620 PRESIDENT AVE,FALL RIVER,"$28,556.00"
CALDEIRAS RESTAURANT,990 PLEASANT ST,FALL RIVER,"$29,011.50"
ATLAS SMOKE SHOP,440 STAFFORD RD,FALL RIVER,"$35,444.75"
RACK EM UP BILLIARDS,129 GRIFFIN ST,FALL RIVER,"$36,428.00"
BEACON LIGHT TAVERN,320 AIRPORT RD,FALL RIVER,"$39,055.00"
FLINT VILLAGE BAKERY,1270 PLEASANT ST,FALL RIVER,"$43,433.00"
SUNNY'S CONVENIENCE,562 N MAIN ST,FALL RIVER,"$57,658.75"
LATINO'S CAFE,296 COUNTY ST,FALL RIVER,"$58,325.00"
STANDARD PHARMACY,246 E MAIN ST,FALL RIVER,"$75,129.50"
RITE AID 10203,1024 SO MAIN STREET,FALL RIVER,"$84,338.50"
SHORTY'S PUB,87 AETNA ST,FALL RIVER,"$85,716.00"
CAFE & PIZZERIA RIO,1300 PLEASANT STREET,FALL RIVER,"$91,036.50"
LAUNDRY PALACE,1706 PRESIDENT AVE,FALL RIVER,"$92,702.75"
KAPPY'S FINE WINE & SPIRITS,580 WILLIAM S CANNING BLVD,FALL RIVER,"$106,332.25"
RITE AID 10198,233 SO MAIN STREET,FALL RIVER,"$107,920.25"
ITALIAN PROGRESSIVE CLB,310 SLADE ST,FALL RIVER,"$110,029.50"
CHAVES MARKET,49 COLUMBIA ST,FALL RIVER,"$119,181.50"
CHUBBY'S FOODMART,208 STAFFORD RD,FALL RIVER,"$122,108.00"
SPEEDWAY #2505,175 MILLIKEN BLVD,FALL RIVER,"$133,484.75"
MOE'S MINI MART & DELI,1320 PLEASANT ST,FALL RIVER,"$149,720.00"
BARRETT'S WATERFRONT,1082 DAVOL ST,FALL RIVER,"$155,132.00"
FALL RIVER SPORTS CLUB,233 HOPE STREET,FALL RIVER,"$164,134.50"
DOLLAR DEPOT,657 PLEASANT ST,FALL RIVER,"$169,702.75"
SOUTH MAIN NEWS,238 SOUTH MAIN STREET,FALL RIVER,"$180,299.75"
MICHAEL'S PROVISIONS,317 LINDSEY ST,FALL RIVER,"$185,085.50"
SOUTH END SUNOCO,2322 S MAIN ST,FALL RIVER,"$185,998.25"
ANDREWS FRUIT,1697 S MAIN ST,FALL RIVER,"$189,880.25"
ECONOMY LIQUORS,929 NORTH MAIN STREET,FALL RIVER,"$192,426.50"
M & S LIQUORS,905 PLYMOUTH AVE,FALL RIVER,"$198,474.50"
ST JOHNS ATHLETIC CB,1365 RODMAN ST,FALL RIVER,"$199,791.25"
GINA'S RESTAURANT,950 WILSON ST,FALL RIVER,"$206,636.75"
LIBERAL CLUB,20 STAR ST,FALL RIVER,"$207,016.75"
BRAYTON AVE CAFE,483 BRAYTON AVE,FALL RIVER,"$207,710.50"
LOW PRICE CONVENIENCE STORE,870 NORTH MAIN STREET,FALL RIVER,"$215,447.00"
DAOU MARKET,1678 PRESIDENT AVE,FALL RIVER,"$220,197.25"
RITE AID 10199,10 STAFFORD STREET,FALL RIVER,"$220,234.50"
BROADWAY CONVENIENCE,167 BROADWAY,FALL RIVER,"$223,550.00"
FARM MARKET,223 DURFEE STREET,FALL RIVER,"$224,126.25"
PLYMOUTH AVE SHELL,372 PLYMOUTH AVE,FALL RIVER,"$239,481.75"
LEPAGES SEAFOOD INC,439 MARTINE ST,FALL RIVER,"$264,185.00"
FERNANDOS PLACE,92 ALDEN ST,FALL RIVER,"$270,788.00"
SEABRA FOODS,440 STAFFORD RD,FALL RIVER,"$272,365.25"
LODGE OF ELKS #118,4500 N MAIN ST,FALL RIVER,"$273,752.75"
PAPA G CONVENIENCE,168 RODMAN ST,FALL RIVER,"$283,032.25"
JAREKS MARKET,362 5TH STREET,FALL RIVER,"$295,758.75"
VFW POST 486,486 BEDFORD STREET,FALL RIVER,"$336,323.00"
GOLDEN FOODMART,1043 RODMAN STREET,FALL RIVER,"$337,243.50"
SUNSET VARIETY,508 BOWEN STREET,FALL RIVER,"$348,086.50"
STOP AND SAVE,201 ROCK ST,FALL RIVER,"$358,498.00"
SOUTH MAIN MARKET,543 SO MAIN ST,FALL RIVER,"$380,313.00"
GLOBE LIQUORS,180 PRESIDENT AVE,FALL RIVER,"$410,838.25"
STAR MARKET,311-317 BANK STREET,FALL RIVER,"$412,526.75"
THE LETS ROLL EXPRESS,440 STAFFORD RD,FALL RIVER,"$421,546.75"
S & M FALL RIVER GRILL,363 SECOND ST,FALL RIVER,"$426,344.50"
AMARAL'S MARKET,872 GLOBE ST,FALL RIVER,"$428,301.75"
SOUTH END LIQUORS,1755 S MAIN ST,FALL RIVER,"$435,318.50"
JAY'S WINE & SPIRITS,1702 PRESIDENT AVE,FALL RIVER,"$435,371.75"
PLEASANT DISCOUNT LIQUORS,879 PLEASANT ST,FALL RIVER,"$437,717.75"
AMVETS POST 60,175 DANFORTH ST,FALL RIVER,"$444,191.00"
BEST GAS,1101 NORTH MAIN STREET,FALL RIVER,"$446,060.50"
SUNNY'S CONVENIENCE,562 N MAIN ST,FALL RIVER,"$468,862.75"
MARQUES MARKET,1744 N MAIN ST,FALL RIVER,"$474,249.75"
STOP AND SAVE,340 OAK GROVE AVENUE,FALL RIVER,"$515,926.75"
MARKET BASKET #83,600 WILLIAM S CANNING BLVD,FALL RIVER,"$523,110.00"
7 DAYS FOOD MART,164 DURFEE STREET,FALL RIVER,"$526,195.00"
RIVERSIDE FARM,157 BRIGHTMAN ST,FALL RIVER,"$527,488.00"
PETRO PLUS FOOD MART,1708 S MAIN ST,FALL RIVER,"$558,005.50"
JAY'S WINE & SPIRIT,340 RHODE ISLAND AVENUE,FALL RIVER,"$572,255.50"
SPEEDWAY #2421,15 EASTERN AVE,FALL RIVER,"$577,596.50"
BARRETT'S ALE HOUSE,4171 N MAIN ST,FALL RIVER,"$587,144.00"
Z & SONS,1552 SOUTH MAIN STREET,FALL RIVER,"$609,607.50"
RUBY CONVENIENCE STORE,1737 BAY STREET,FALL RIVER,"$612,094.00"
SUPREME GAS,1082 N MAIN ST,FALL RIVER,"$626,297.00"
SUNNY HILL FARM,345 ROBESON ST,FALL RIVER,"$639,315.00"
AL PRIME GAS,813 BROADWAY,FALL RIVER,"$647,323.00"
SILVA'S PACKAGE STORE,640 BEDFORD ST,FALL RIVER,"$647,954.00"
GOLDEN FOODMART,1043 RODMAN STREET,FALL RIVER,"$656,382.75"
SCOTTIE'S PUB,202 PLEASANT ST,FALL RIVER,"$680,246.50"
SHAWS 1411,4171 NO MAIN ST,FALL RIVER,"$693,584.75"
ELITE GAS,339 BROADWAY,FALL RIVER,"$702,381.25"
CUMBERLAND #2227,864 STAFFORD RD,FALL RIVER,"$717,782.25"
HIGHLAND MINI MART & LIQUORS,623 LOCUST STREET,FALL RIVER,"$725,535.75"
A J'S BAR & GRILL,472 EAST MAIN STREET,FALL RIVER,"$731,269.00"
JOE'S LIQUORS,90-94 EAGLE ST,FALL RIVER,"$747,638.25"
FLINT FRUIT & VARIETY,1174 PLEASANT ST,FALL RIVER,"$756,670.00"
SPEEDWAY #2498,614 PLEASANT ST,FALL RIVER,"$771,050.00"
FALL RIVER MINI MART,837 BAY ST,FALL RIVER,"$795,820.00"
CHOICE MINI MART & SMOKE SHOP,927 S MAIN ST,FALL RIVER,"$855,027.00"
LEONARD'S PACKAGE STORE,1331 PLEASANT ST,FALL RIVER,"$858,281.25"
CAFE CLIPPER,459 SOUTH MAIN STREET,FALL RIVER,"$876,239.75"
JC'S RESTAURANT & BAR,1050 BEDFORD ST,FALL RIVER,"$876,370.50"
CLOVERDALE MARKET,1040 N MAIN ST,FALL RIVER,"$876,751.75"
COLBEA #64,815 NEW BOSTON RD,FALL RIVER,"$896,728.00"
STOP & SHOP #071,501 RODMAN STREET,FALL RIVER,"$909,320.75"
COUNTY CONVENIENCE,228 COUNTY ST,FALL RIVER,"$934,711.50"
SM MINI MART II,437 STAFFORD ROAD,FALL RIVER,"$958,835.25"
FALL RIVER MINI MART,1860 PLEASANT ST,FALL RIVER,"$962,905.25"
STOP & SHOP #473,333 MARIANO BISHOP BLVD,FALL RIVER,"$1,005,694.50"
AMERI STORE,1363 S MAIN ST,FALL RIVER,"$1,023,579.75"
PETER'S PACKAGE STORE,971 RODMAN ST,FALL RIVER,"$1,030,768.50"
CLOVERDALE FARMS,1892 S MAIN ST,FALL RIVER,"$1,047,765.00"
RED'S TRAVEL CENTER,200 BROADWAY,FALL RIVER,"$1,093,229.75"
SUN AND SHINE,1447 NORTH MAIN STREET,FALL RIVER,"$1,097,223.50"
A M S FOOD MART,2307 S MAIN ST,FALL RIVER,"$1,199,049.50"
SEASONS #85,130 WILLIAM S CANNING BLVD,FALL RIVER,"$1,215,531.25"
MAPLEWOOD SUPERETTE,1555 STAFFORD ROAD,FALL RIVER,"$1,251,157.50"
STOP N SAVE CONV STR,101 PRESIDENT AVE,FALL RIVER,"$1,256,676.75"
COUNTRY FARMS,144 EAST MAIN ST,FALL RIVER,"$1,413,270.75"
FALL RIVER GAS,338 QUARRY ST,FALL RIVER,"$1,443,237.25"
HARTWELL QUICK STOP,350 RODMAN ST,FALL RIVER,"$1,463,938.50"
LOW PRICE CONVENIENCE STORE,870 NORTH MAIN STREET,FALL RIVER,"$1,551,466.75"
H B GAS AND CONVENIENCE,178 ROBESON STREET,FALL RIVER,"$1,560,392.00"
XTRA MART,1012 BEDFORD STREET,FALL RIVER,"$1,563,035.75"
NEW WORLD,340 MILLIKEN BLVD,FALL RIVER,"$1,573,271.00"
S & K CONVENIENCE,696 EASTERN AVE,FALL RIVER,"$1,671,516.00"
RED'S DAIRY STORE,1500 BRAYTON AVE,FALL RIVER,"$1,734,545.25"
JOE'S MARKET,1132 ROBESON ST,FALL RIVER,"$1,835,555.00"
KAMS FOOD MART,376 2ND ST,FALL RIVER,"$1,840,112.25"
CUMBERLAND #2286,4548 NO MAIN ST,FALL RIVER,"$1,922,539.50"
SHOP N SAVE,1625 ROBESON ST,FALL RIVER,"$1,965,335.00"
7-ELEVEN 37393,1099 WM CANNING BLVD,FALL RIVER,"$1,970,170.25"
SUPREME GAS II,19 LAUREL ST,FALL RIVER,"$2,020,976.75"
ROYAL LIQUORS,4263 N MAIN ST,FALL RIVER,"$2,200,819.00"
SUPREME GAS,510 BRAYTON AVE,FALL RIVER,"$2,323,829.75"
GUIMOND FARMS,105 RHODE ISLAND AVE,FALL RIVER,"$2,385,965.75"
7-ELEVEN 37443,190 NEW BOSTON RD,FALL RIVER,"$2,555,969.00"
SUNNY HILL MINI MART,2632 S MAIN ST,FALL RIVER,"$3,676,231.75"
FALMOUTH SMOKE SHOP,72 DAVIS STRAITS #103B,FALMOUTH,"$1,188.00"
FALMOUTH LODGE OF ELKS 2380,140 PALMER AVE,FALMOUTH,"$79,204.00"
WEST FALMOUTH MARKET,623 WEST FALMOUTH HWY,FALMOUTH,"$122,863.75"
FAMILY FOOD,348-350 E FALMOUTH HIGHWAY,FALMOUTH,"$184,621.00"
KAPPY'S LIQUORS,21 SPRING BARS RD,FALMOUTH,"$202,311.25"
RAPID REFILL #133,435 PALMER AVE,FALMOUTH,"$239,072.75"
ANCHOR ALE HOUSE,100 DAVIS STRAITS RT 28,FALMOUTH,"$256,479.75"
EXPRESS MART,714 WEST FALMOUTH HWY,FALMOUTH,"$303,342.25"
QUAHOG REPUBLIC DIVE BAR,97 SPRING BARS RD,FALMOUTH,"$337,985.50"
THE CONFERENCE TABLE,205 WORCESTER CT,FALMOUTH,"$571,767.00"
PALMER TEXACO #108,302 PALMER AVE,FALMOUTH,"$583,247.75"
STOP & SHOP #425,RT28 & JONES RD,FALMOUTH,"$631,337.25"
CUMBERLAND #2333,485 WAQUOIT HIGHWAY,FALMOUTH,"$631,554.50"
SPEEDWAY #2443,1196 SANDWICH RD,FALMOUTH,"$660,789.00"
INTERGAS,607 E MAIN STREET,FALMOUTH,"$834,598.75"
CUMBERLAND #6752,212 TEATICKET HWY,FALMOUTH,"$874,484.00"
7-ELEVEN 37458,59 LOCUST ST,FALMOUTH,"$1,307,861.75"
FALMOUTH CONVENIENCE,886 MAIN ST,FALMOUTH,"$1,514,766.50"
FALMOUTH FOOD MART,336 E FALMOUTH HWY,FALMOUTH,"$1,765,944.25"
KENYON'S MARKET,769 E FALMOUTH HWY,FALMOUTH,"$2,067,346.75"
7-ELEVEN 24450-F,743 MAIN ST,FALMOUTH,"$2,432,801.50"
POLISH AMERICAN CLUB /AGAWAM,139 SOUTHWICK ST,FEEDING HILLS,"$109,421.00"
PHIPPS DISCOUNT,1350 SPRINGFIELD ST,FEEDING HILLS,"$263,785.00"
THE BACK ROOM,827 SPRINGFIELD STREET,FEEDING HILLS,"$436,710.00"
FEEDING HILLS  MARKET,634 SPRINGFIELD ST,FEEDING HILLS,"$445,765.25"
NOURIA #4053,2 S WESTFIELD ST,FEEDING HILLS,"$627,634.50"
CUMBERLAND #0167,794 SPRINGFIELD ST,FEEDING HILLS,"$908,123.00"
COLONIAL FOOD STORE,39 SOUTHWICK STREET,FEEDING HILLS,"$976,366.25"
STOP & SHOP #782,1282 SPRINGFIELD ST,FEEDING HILLS,"$1,020,929.75"
FEEDING HILLS VARIETY,344 N WESTFIELD ST,FEEDING HILLS,"$2,345,227.50"
PRIDE STATION & STORE,6  WESTFIELD ST,FEEDING HILLS,"$2,462,398.50"
CUMBERLAND #6686,506 MAIN ST,FISKDALE,"$1,446,312.50"
KC'S PUB,1098 MAIN ST,FITCHBURG,"$2,189.00"
ST JOSEPH'S CLUB,109 OAKHILL RD,FITCHBURG,"$3,423.00"
ZEDAS,65 LAUREL STREET,FITCHBURG,"$7,409.50"
MILL CITY PUB,19 AIRPORT ROAD,FITCHBURG,"$30,530.00"
BRITISH AMER CLUB,1 SIMONDS RD,FITCHBURG,"$83,103.00"
EASTWOOD CLUB INC,389 TOWNSEND ST,FITCHBURG,"$95,764.00"
CASHLINK,440 MECHANIC STREET,FITCHBURG,"$120,030.75"
BILL BAILEY PACKAGE STORE,25 JOHN FITCH HWY,FITCHBURG,"$120,051.00"
BUFFALO  WILD WINGS,150 WHALON STREET,FITCHBURG,"$123,592.75"
LOG CABIN,135 WESTMINSTER STREET,FITCHBURG,"$127,933.50"
KNIGHTS OF COLUMBUS #99,165 ELECTRIC AVE,FITCHBURG,"$133,407.00"
SLATTERYS BACK ROOM,106 LUNENBURG ST,FITCHBURG,"$137,555.50"
FITCHBURG VARIETY,938 WATER ST,FITCHBURG,"$147,046.75"
LEGENDS SPORTS BAR,68 AIRPORT RD    10,FITCHBURG,"$168,379.00"
KAPPY'S LIQUORS,220 WHALON/TWIN CTY,FITCHBURG,"$206,169.00"
PEERLESS PACKAGE STORE,528 JOHN FITCH HW,FITCHBURG,"$215,489.00"
PARTNERS PUB,970 SOUTH ST,FITCHBURG,"$264,980.25"
A L PRIME ENERGY,120 MASS STATE HWY,FITCHBURG,"$294,324.00"
SUPER LIQUORS,784 WATER ST,FITCHBURG,"$303,749.25"
GLOBAL MONTELLO #2770,129 WHALOM ST,FITCHBURG,"$316,279.75"
MAJOR'S CAFE,149 LUNENBURG ST,FITCHBURG,"$368,511.00"
MARKET BASKET #27,399 JOHN FITCH HWY,FITCHBURG,"$391,124.50"
M & M SALES,330 WATER ST,FITCHBURG,"$449,442.00"
ROYAL FUEL,880 WATER ST,FITCHBURG,"$455,794.75"
COTES VARIETY,169 HIGH ST,FITCHBURG,"$518,880.50"
WYMAN'S LIQUORS,519 ELECTRIC AVE,FITCHBURG,"$574,748.50"
JAY'S LIQUORS,134 RIVER ST,FITCHBURG,"$577,337.75"
CUMBERLAND #6762,550 KIMBALL ST,FITCHBURG,"$581,662.75"
PRIME CONVENIENCE,267 MECHANIC STREET,FITCHBURG,"$597,783.00"
MARKET BASKET #14,90 WATER ST,FITCHBURG,"$619,382.50"
FITCHBURG MOBIL,129 WHALOM ST,FITCHBURG,"$647,832.25"
GOMES LIQUORS,58 ASHBY STATE RD,FITCHBURG,"$701,455.25"
WINE WORLD,381 JOHN FITCH HWY,FITCHBURG,"$701,810.00"
A L PRIME ENERGY,1313 WATER ST,FITCHBURG,"$746,461.50"
TWIN CITY CONVENIENCE,59 WHALON ST,FITCHBURG,"$748,415.75"
SULLIVAN'S LIQUORS,363 RIVER STREET,FITCHBURG,"$769,282.75"
SOUTH END NATIONAL CLUB,13 MARKET ST,FITCHBURG,"$787,643.00"
B P GAS  STATION,942 SOUTH ST,FITCHBURG,"$907,800.00"
EXPRESSWAY MARKET,449 MECHANIC ST,FITCHBURG,"$947,254.75"
FITCHBURG VARIETY,938 WATER ST,FITCHBURG,"$1,107,910.75"
CASTLEWAY MARKET,432 MECHANIC ST,FITCHBURG,"$1,128,635.50"
TOPPS LIQUORS,128 WATER STREET UNIT #2,FITCHBURG,"$1,196,267.25"
RACING MART,75 MAIN STREET,FITCHBURG,"$1,204,735.75"
HONEY FARMS 3830,487 PRINCETON RD,FITCHBURG,"$1,390,179.25"
SUPER MART,7 WESTMINSTER ST,FITCHBURG,"$1,418,265.75"
TWIN CITY MARKET,59 WHALON ST,FITCHBURG,"$1,645,747.75"
UNIFIED PETROLEUM,249 KIMBALL STREET,FITCHBURG,"$1,851,188.00"
CUMBERLAND #0178,479 ELECTRIC AVE,FITCHBURG,"$1,905,829.25"
ABS GAS,115 LUNENBURG ST,FITCHBURG,"$2,179,239.75"
PATRIOT GAS & CONVENIENCE,240 LUNENBURG STREET,FITCHBURG,"$3,141,497.25"
J D' S VARIETY,259 FRANKLIN RD,FITCHBURG,"$3,242,004.50"
HONEY LAND,220 SUMMER ST,FITCHBURG,"$3,278,469.00"
M F CURTAIN VFW POST # 8006,18 MEADOW ST,FLORENCE,$556.00
JJ'S TAVERN,99 MAIN ST      B,FLORENCE,"$249,743.00"
JIM'S VARIETY,15 WEST FARMS RD,FLORENCE,"$702,466.50"
CUMBERLAND #0129,53 MAIN ST,FLORENCE,"$1,087,081.00"
BIRD'S STORE,94 MAPLE ST,FLORENCE,"$1,322,668.50"
SANDWICH TAVERN,290 RT 130,FORESTDALE,"$621,683.25"
FORESTDALE SHELL,80 RTE 130,FORESTDALE,"$1,386,336.00"
FUSION,105 WASHINGTON ST,FOXBORO,"$10,851.50"
FOXBORO VFW POST #2626,337 COCASSET STREET,FOXBORO,"$87,573.00"
ROUTE 1 LIQUOR MART,29 WASHINGTON ST,FOXBORO,"$143,752.00"
CHICKIE FLYNNS,94 WASHINGTON ST,FOXBORO,"$256,387.00"
HOPS & GRAPES,4B COMMERICIAL ST,FOXBORO,"$280,624.75"
FOXBORO HOUSE OF PIZZA,34 CENTRAL STREET,FOXBORO,"$288,709.00"
CONRAD'S RESTAURANT,121 MAIN STREET,FOXBORO,"$464,277.50"
FOXBORO MANDARIN,369 CENTRAL ST,FOXBORO,"$547,096.00"
FOXBORO WINE & SPIRITS,14 SOUTH STREET,FOXBORO,"$556,923.25"
STADIUM GULF,20 WASHINGTON ST,FOXBORO,"$594,259.50"
QUICK STOP BEER & WINE,79 SUMMER ST,FOXBORO,"$708,681.25"
STOP & SHOP #494,141 MAIN ST/RTE 140,FOXBORO,"$732,211.75"
FOXBORO SHELL,32 COMMERCIAL ST,FOXBORO,"$814,204.25"
RALLY POINT INN & PUB,7-9 MECHANIC STREET,FOXBORO,"$884,244.00"
CUMBERLAND #0176,20 MECHANIC ST,FOXBORO,"$1,053,484.00"
FOXBORO SUNOCO,105 MAIN STREET,FOXBORO,"$1,056,223.25"
FOXBORO MOBIL,123 CENTRAL ST,FOXBORO,"$1,521,054.50"
EXPRESS MINI MART,126 MAIN ST,FOXBORO,"$1,933,913.50"
THE COUNTRY STORE,212 NORTH ST,FOXBORO,"$2,290,419.75"
RAILROAD SIX,398 WAVERLY ST,FRAMINGHAM,$450.00
ONE ENERGY,206 UNION AVE,FRAMINGHAM,"$1,200.00"
PORTUGUESE CLUB,67 SOUTH STREET,FRAMINGHAM,"$3,544.00"
THE 4'S SPORTS PUB,666 WAVERLEY STREET,FRAMINGHAM,"$50,107.75"
COLBEA #89,543 OLD CONN PATH,FRAMINGHAM,"$58,333.00"
NEW CHEF ORIENT,1583 WORCESTER RD,FRAMINGHAM,"$59,406.00"
COLUMBUS CLUB,11 FOUNTAIN ST,FRAMINGHAM,"$80,830.00"
ONE ENERGY,1660 WORCESTER ROAD,FRAMINGHAM,"$82,946.50"
NOBSCOT CAFE,847 EDGELL RD,FRAMINGHAM,"$92,588.00"
