Agent Name,Agent Address,Agent City,FY 17 Net Sales
TERRA NOSSA CENTER MARKET,1501 BEDFORD ST,ABINGTON,"$45,072.00"
ABINGTON SUNOCO,907 BEDFORD ST,ABINGTON,"$59,589.50"
MICHAEL'S CONVENIENCE,194 NORTH AVE,ABINGTON,"$78,417.00"
TIKI GARDEN INC,201 N QUINCY ST,ABINGTON,"$89,808.00"
MARTIN'S RESTAURANT,205 NORTH AVENUE,ABINGTON,"$111,218.00"
MARYLOU'S NEWS,562 WASHINGTON ST,ABINGTON,"$111,890.75"
SMOKE & ASHES TOBACCO CO,308 BROCKTON AVE,ABINGTON,"$121,977.50"
GREAT CHOW 18,497 BEDFORD STREET,ABINGTON,"$134,472.00"
KNIGHTS OF COLUMBUS,254 HANCOCK ST,ABINGTON,"$142,141.00"
MARYLOU'S NEWS,1501 BEDFORD ST,ABINGTON,"$182,388.00"
ROSIE'S LIQUOR & DELI,751 BEDFORD ST,ABINGTON,"$250,374.75"
POLISH CLUB,55 WALES ST,ABINGTON,"$262,857.50"
SQUIRE'S LOFT,460 BEDFORD ST,ABINGTON,"$263,090.50"
ABINGTON LIQUORS,585 WASHINGTON STREET,ABINGTON,"$269,099.25"
ABINGTON DEPOT,101 RAILROAD ST,ABINGTON,"$270,825.50"
LYNCH'S TAVERN,236 NORTH AVE,ABINGTON,"$298,010.00"
BILLY'S LIQUORS,760 BROCKTON AVE,ABINGTON,"$315,536.00"
CENTER AVE SUNOCO,336 CENTRE AVE,ABINGTON,"$315,687.75"
D'ANN'S REST,340 CENTRE AVE,ABINGTON,"$376,887.75"
STIX & STONES,800 BROCKTON AVENUE,ABINGTON,"$381,571.75"
MIA REGAZZA,268 WASHINGTON ST,ABINGTON,"$384,468.75"
ALLTOWN #2727,906 BEDFORD ST,ABINGTON,"$414,868.75"
CELLAR TAVERN,221 NORTH ST,ABINGTON,"$484,316.00"
OMOTO GARDEN,1501 BEDFORD ST,ABINGTON,"$488,088.00"
BEMIS DRUG CO INC,6 BRIGHTON ST,ABINGTON,"$494,902.00"
STOP N GAS,164 NORTH AVE,ABINGTON,"$631,881.50"
JP RYAN'S TAVERN,246 BROCKTON AVE,ABINGTON,"$728,965.00"
TEDESCHI  #394,145 N QUINCY ST,ABINGTON,"$743,620.75"
ABINGTON ALE HOUSE,1235 BEDFORD ST,ABINGTON,"$850,455.75"
TRUCCHI'S MARKET #4,858 BEDFORD ST,ABINGTON,"$868,509.50"
CENTRE AVENUE SUNOCO,336 CENTRE AVENUE,ABINGTON,"$902,546.25"
STOP & SHOP #054,375 CENTRE ST,ABINGTON,"$1,043,386.00"
D'ANN'S SPORTS & ENTERTAINMENT,340 CENTRE AVENUE,ABINGTON,"$1,144,845.50"
ABINGTON COUNTRY STORE,852 HANCOCK STREET,ABINGTON,"$1,310,424.50"
7-ELEVEN 37490,145 N QUINCY ST,ABINGTON,"$1,339,809.00"
BRENNAN'S NEWS,224 CENTRE AVE,ABINGTON,"$1,369,681.75"
J D  VARIETY,201 N QUINCY ST,ABINGTON,"$1,468,332.50"
QUICK STOP,115 BROCKTON AVE,ABINGTON,"$1,666,836.25"
7-ELEVEN 32437 E,2 BROCKTON AVE,ABINGTON,"$1,690,894.75"
7-ELEVEN 37406,945 BEDFORD ST,ABINGTON,"$1,864,933.75"
SMARTSTOP CONVENIENCE,270 NORTH AVE,ABINGTON,"$1,962,998.75"
YOURS CONVENIENCE STORE,800 BROCKTON AVE,ABINGTON,"$1,977,064.25"
ROUTE 18 SUPERSTORE,336 WASHINGTON STREET,ABINGTON,"$2,614,417.00"
KMART 7104,252 MAIN ST,ACTON,"$24,946.50"
RITE AID 10097,100 POWDER MILL RD,ACTON,"$32,107.00"
COLONIAL SPIRITS,87 GREAT ROAD,ACTON,"$46,953.25"
ACTON LIQUORS,100 POWDER MILL ROAD,ACTON,"$54,708.25"
RED WHITE AND BREW WINE,578 MASS AVE,ACTON,"$87,091.75"
ACTON LIQUORS,100 POWDERMILL RD,ACTON,"$123,514.50"
LIQUOR OUTLET INC,305 MAIN STREET,ACTON,"$176,436.75"
DONELANS OF ACTON,248 GREAT ROAD,ACTON,"$215,192.50"
PRO TECH GAS,332 GREAT ROAD,ACTON,"$235,999.25"
ROCHE BROS #112,387 MASS AVE,ACTON,"$249,200.50"
MAKAHA RESTAURANT,255 GREAT RD,ACTON,"$441,727.50"
STOP & SHOP #460,100 POWDER MILL RD,ACTON,"$467,093.75"
TAILGATERS GRILLE,166 GREAT ROAD,ACTON,"$496,736.25"
TEDESCHI  #321,75 GREAT ROAD,ACTON,"$507,698.00"
MAIN STREET EXPRESS,289 MAIN ST,ACTON,"$518,434.25"
EAST ACTON MOBIL,44 GREAT RD,ACTON,"$593,281.75"
ACTON CONVENIENCE,467 GREAT ROAD,ACTON,"$667,871.25"
TOWN LINE CONVENIENCE,37 MAIN ST,ACTON,"$943,913.00"
WEST ACTON MOBIL,553 MASSACHUSETTS AVE,ACTON,"$980,265.75"
7-ELEVEN 37454,75 GREAT RD,ACTON,"$1,001,367.75"
PRO TECH,421 MASS AVE,ACTON,"$1,039,615.50"
BLUE LANTERN CAFE,605 MAIN ST,ACUSHNET,"$77,972.75"
CHUCK'S LIQUORS II,172-174 S MAIN ST,ACUSHNET,"$96,858.00"
BONVILLE'S MARKET,142 SOUTH MAIN STREET,ACUSHNET,"$98,192.00"
PONDEROSA,242 ROBINSON RD,ACUSHNET,"$173,432.00"
THOMAS E TUTTLE POST 7239 VFW,28 ROOSEVELT ST,ACUSHNET,"$202,764.00"
RIVERS END CAFE,7 TARKILN HILL ROAD,ACUSHNET,"$220,060.50"
TOWN LIQUORS,1 MIDDLE RD,ACUSHNET,"$236,878.50"
BONVILLE'S MARKET,142 SO MAIN ST,ACUSHNET,"$282,439.50"
PARTING WAYS SERVICE,121 MAIN ST,ACUSHNET,"$335,771.25"
JT'S PUB,77 SLOCUM ST,ACUSHNET,"$343,281.50"
SCUTTLEBUTTS,590 MAIN ST,ACUSHNET,"$417,079.00"
JASON'S VARIETY,270 N MAIN ST,ACUSHNET,"$786,860.75"
CUMBERLAND #2233,176 SOUTH MAIN ST,ACUSHNET,"$907,188.25"
FOREST PARK COUNTRY CLUB,41 FOREST PARK AVE,ADAMS,"$26,445.00"
ADAMS TURNERS,6 TURNERS AVE,ADAMS,"$90,242.00"
POLISH NATIONAL ALLIANCE,13 VICTORY ST,ADAMS,"$114,422.00"
AJ'S TRAILSIDE PUB,12 PLEASANT STREET,ADAMS,"$149,855.00"
THE VIKING PUB,83 COMMERCIAL ST,ADAMS,"$178,561.50"
RED CARPET RESTAURANT,69 PARK ST,ADAMS,"$194,491.50"
RITE AID 10068,21 COLUMBIA STREET,ADAMS,"$207,515.50"
CHICKS LUNCH,128 COLUMBIA ST,ADAMS,"$281,320.00"
O'GEARY'S PACKAGE,60 COMMERCIAL ST,ADAMS,"$316,653.75"
THE MOUNTAIN CLUB,6 ANTHONY STREET,ADAMS,"$363,254.50"
ADAMS RACING MART,73 COLUMBIA ST,ADAMS,"$502,170.50"
BIG Y #25,MYRTLE ST,ADAMS,"$535,757.25"
OASIS LIQUOR STORE,35 SPRING ST,ADAMS,"$558,097.50"
CHAPUT NEWS & VARIETY,97 SUMMER ST,ADAMS,"$657,004.75"
VAL'S PIPE & PACKAGE,5 COLUMBIA ST,ADAMS,"$1,206,676.50"
CUMBERLAND #6690,46 COMMERCIAL ST,ADAMS,"$1,319,852.00"
7-ELEVEN 32495-B,223 COLUMBIA ST,ADAMS,"$1,678,109.25"
MICHAEL'S PASTA,395 RIVER ROAD,AGAWAM,"$8,353.00"
RITE AID 10050,17 SPRINGFIELD ST,AGAWAM,"$47,454.75"
EZ MART,1672 MAIN ST,AGAWAM,"$67,445.75"
MC CARTHYS LIQUORS,430 MAIN ST,AGAWAM,"$95,206.00"
RIVERSIDE LIQUORS,1811 MAIN STREET,AGAWAM,"$107,403.75"
TOWNE LIQUORS,384 WALNUT ST,AGAWAM,"$223,495.25"
CHEERS DISCOUNT,416 SPRINGFIELD ST,AGAWAM,"$243,802.50"
SOUTHGATE LIQUORS,842 SUFFIELD ST,AGAWAM,"$314,590.50"
KAPTAIN JIMMYS,916 SUFFIELD STREET,AGAWAM,"$352,769.00"
MURPHY'S PUB,664 SUFFIELD STREET,AGAWAM,"$353,871.00"
FERRENTINO PIZZARIA & PUB,1676 MAIN STREET,AGAWAM,"$382,807.25"
AGAWAM MOBIL #458,634 MAIN STREET,AGAWAM,"$465,736.25"
THE STILL,63 SPRINGFIELD ST,AGAWAM,"$468,983.50"
SCOREBOARD BAR & RESTAURANT,15 KING ST,AGAWAM,"$558,014.25"
GEISSLER'S SUPERMARKET,830 SUFFIELD ST,AGAWAM,"$563,841.50"
SOUTHBRIDGE CONV,1 SOUTH BRIDGE RD,AGAWAM,"$651,221.25"
CUMBERLAND #0201,837 SUFFIELD ST,AGAWAM,"$777,789.75"
BUCCANEERS LOUNGE,84-86 MAPLE ST,AGAWAM,"$780,488.00"
NOURIA #4047,634 MAIN ST,AGAWAM,"$860,788.25"
RIVERBOAT BAR & GRILL,11-13 SOUTH END CIR,AGAWAM,"$936,738.75"
ONE STOP MART,308 SUFFIELD STREET,AGAWAM,"$952,939.75"
QUICK PIC,1 RIVER RD,AGAWAM,"$1,006,126.00"
GOODIES CONVENIENCE,300 SPRINGFIELD ST,AGAWAM,"$1,075,860.25"
PRIDE STATION & STORE,824 SUFFIELD ST,AGAWAM,"$1,082,903.50"
CITGO FOOD MART,650 SUFFIELD STREET,AGAWAM,"$1,314,453.75"
UTOPIA,713 MAIN ST,AGAWAM,"$1,345,594.50"
GAYATRI FOOD MART,18 SPRINGFIELD ST,AGAWAM,"$1,442,520.25"
THE DAIRY STORE,335 SUFFIELD ST,AGAWAM,"$2,324,015.25"
O'BRIEN'S PUB,3 HARVARD AVE,ALLSTON,"$1,138.50"
FRESH FORMATS 4100,214 HARVARD AVE,ALLSTON,"$11,002.00"
COMM AVE WINE & SPIRITS,1229 COMMONWEALTH AVE,ALLSTON,"$32,961.00"
START WIRELESS,483 CAMBRIDGE ST,ALLSTON,"$37,984.75"
GREAT SCOTT,1222 COMMONWEALTH AV,ALLSTON,"$38,788.50"
M & M FOOD MART,85 GLENVILLE AVENUE,ALLSTON,"$59,726.25"
ALL CHECKS CASHED,140A HARVARD AVENUE,ALLSTON,"$71,589.50"
SILHOUETTE LOUNGE,200 BRIGHTON AVE,ALLSTON,"$111,377.00"
STARZZONE COMMUNICATIONS,1 BRIGHTON AVE          102,ALLSTON,"$118,040.50"
ALLSTON CAR WASH,434 CAMBRIDGE ST,ALLSTON,"$175,277.25"
7-ELEVEN 37526,1227 COMMONWEALTH AVE AVE,ALLSTON,"$198,741.75"
QUALITY LIQUORS,489 CAMBRIDGE ST,ALLSTON,"$259,443.50"
MAYFAIR FOODS INC,506 CAMBRIDGE ST,ALLSTON,"$282,425.25"
BUS STOP PUB,252 WESTERN AVE,ALLSTON,"$298,983.00"
BOSTON LIQUORS,223-233 CAMBRIDGE STREET,ALLSTON,"$306,024.75"
REGINA PIZZERIA,353 CAMBRIDGE STREET,ALLSTON,"$323,637.00"
7-ELEVEN 37347,1219 COMMONWEALTH AVE,ALLSTON,"$337,455.00"
SPEEDWAY #2448,100 BRIGHTON AVE,ALLSTON,"$341,117.25"
7-ELEVEN 37433,157 BRIGHTON AVE,ALLSTON,"$387,336.75"
LEES 2 MARKET,1383 COMMONWEALTH AVE,ALLSTON,"$389,128.25"
STAR MKT 3588,1065 COMM AVE,ALLSTON,"$458,211.00"
ALLSTON CONVENIENCE,165 ALLSTON ST,ALLSTON,"$494,199.50"
SUNRISE MARKET,152 - 154 BRIGHTON AVE,ALLSTON,"$600,738.50"
NEIGHBORHOOD MARKET,57 FRANKLIN ST,ALLSTON,"$633,744.75"
SPEEDWAY #2493,219 CAMBRIDGE ST,ALLSTON,"$634,228.50"
7-ELEVEN 37367,509 CAMBRIDGE ST,ALLSTON,"$710,979.25"
7-ELEVEN 37433,157 BRIGHTON AVE,ALLSTON,"$779,944.75"
7-ELEVEN 20390-C,204 N HARVARD ST,ALLSTON,"$780,422.50"
ALLSTON GULF,198 WESTERN AVENUE,ALLSTON,"$1,115,876.75"
STOP & SHOP #089,60 EVERETT ST,ALLSTON,"$1,173,899.25"
ALLSTON MARKET,169 HARVARD AVE,ALLSTON,"$1,189,373.50"
VAN'S MINI MART,109 FRANKLIN ST,ALLSTON,"$1,410,884.25"
THE CROSSBAR PUB,12-14 SOUTH HUNT ROAD,AMESBURY,"$2,068.00"
LEARYS FINE WINES,100 MACY STREET,AMESBURY,"$20,905.25"
AMESBURY LIQUOR SHOPPE,49  FRIEND STREET,AMESBURY,"$21,685.25"
CARRIAGE WHEEL PUB,10 FRIEND ST,AMESBURY,"$58,653.00"
ROUTE 110 LIQUORS,25 1/2 MACY ST,AMESBURY,"$83,853.50"
RITE AID 10131,15 HAVERHILL ROAD,AMESBURY,"$127,910.75"
SZECHUAN CAFE,88 HAVERHILL RD,AMESBURY,"$128,743.75"
AMESBURY ONE STOP II,23  ROCKY HILL RD,AMESBURY,"$145,015.50"
AMESBURY ONE STOP,108 MACY ST,AMESBURY,"$174,058.75"
A L PRIME ENERGY,63 ELM ST,AMESBURY,"$204,339.00"
FELCO MINI MART,60 HAVERHILL RD,AMESBURY,"$397,827.75"
THE BARN,3-5 RING ST,AMESBURY,"$462,898.00"
CIRCLE K #7501,24 ROCKY HILL RD,AMESBURY,"$820,211.75"
STOP & SHOP #499,100 MACY STREET,AMESBURY,"$853,220.75"
VERMETTE'S INC,6 POND ST,AMESBURY,"$947,933.00"
CUMBERLAND #6661,132 ELM ST,AMESBURY,"$989,044.75"
CUMBERLAND #6669,241 MAIN ST,AMESBURY,"$1,275,731.25"
RICHDALE,65 FRIEND STREET,AMESBURY,"$1,503,042.00"
OLDE TOWNE TAVERN,1 PRAY ST,AMHERST,"$1,038.00"
BIG GUY LIQUORS,25 MONTAGUE ST,AMHERST,"$43,725.75"
STACKERS PUB,57 N PLEASANT ST,AMHERST,"$51,124.00"
THE ENGLISH PUB,15 E PLEASANT STREET,AMHERST,"$51,410.00"
SPIRIT HAUS INC,338 COLLEGE ST,AMHERST,"$93,672.25"
UNIVERSITY LIQUORS,6 UNIVERSITY DRIVE SUITE 10,AMHERST,"$154,128.50"
R & P PACKAGE STORE,505 WEST ST,AMHERST,"$213,669.75"
AMHERST MOBIL #467,399 NORTHAMPTON ST,AMHERST,"$218,781.25"
COUSINS FOOD MARKET,11 EAST PLEASANT STREET,AMHERST,"$332,972.50"
NOURIA #4048,399 NORTHAMPTON ST,AMHERST,"$363,255.00"
RAFTERS RESTAURANT,422 AMITY ST,AMHERST,"$599,199.75"
CUMBERLAND #6704,35 BELCHERTOWN RD,AMHERST,"$606,824.00"
BIG Y #46,175 UNIVERSITY DRIVE,AMHERST,"$613,387.25"
SPEEDWAY #2419,468 WEST ST,AMHERST,"$644,393.00"
AMHERST CENTER STORE,259 TRIANGLE STREET,AMHERST,"$672,198.25"
CUMBERLAND #6617,19 MONTAGUE ST,AMHERST,"$793,531.50"
NEIGHBOR FOOD DAIRY MART,324  COLLEGE ST,AMHERST,"$814,218.25"
REDSTONE  LIQUORS,89 MAIN STREET,ANDOVER,"$31,759.00"
PARK STREET PUB,40 PARK STREET,ANDOVER,"$34,383.00"
SHAWSHEEN VILLAGE LIQUORS,2 POOR ST,ANDOVER,"$43,466.25"
ANDOVER LIQUORS,209 N.MAIN ST,ANDOVER,"$202,227.75"
STOP & SHOP #471,199 NORTH MAIN ST,ANDOVER,"$603,575.25"
ANDOVER SPA,9 ELM STREET,ANDOVER,"$749,977.50"
SUNDAY GENERAL STORE,195 ANDOVER ST,ANDOVER,"$885,716.50"
MARCS SNACK BAR,310 LOWELL ST IRS BLDG,ANDOVER,"$955,526.75"
ANDOVER MOBIL,309 LOWELL ST,ANDOVER,"$1,055,929.75"
WEST ANDOVER MOBIL,139 RIVER RD,ANDOVER,"$1,281,685.00"
RICHDALE,10 RAILROAD ST,ANDOVER,"$2,362,119.75"
THE CHATEAU RESTAURANT,131 RIVER RD & RT 93,ANDOVER,"$3,111,250.25"
MAIDA PHARMACY INC,121 MASS AVE,ARLINGTON,"$1,499.00"
MYSTIC WINE SHOPPE,901 MASS AVE,ARLINGTON,"$17,940.25"
ARLINGTON PACKAGE EXPRESS,350 MASS AVE,ARLINGTON,"$33,158.75"
D'AGOSTINOS DELI,1297 MASS AVE,ARLINGTON,"$33,189.50"
MYSTIC STREET GULF,140 MYSTIC ST,ARLINGTON,"$37,709.00"
ARLINGTON SHELL,934-950 MASS AVE,ARLINGTON,"$47,910.50"
ALEXANDER LIQUORS,94 SUMMER ST,ARLINGTON,"$98,974.50"
COLUMBUS CLUB,15 WINSLOW ST,ARLINGTON,"$342,026.25"
A AND A MARKET,1042 MASS AVE,ARLINGTON,"$571,816.25"
STOP & SHOP #776,905 MASS AVE,ARLINGTON,"$593,156.00"
7 STAR GROCERY,6 MEDFORD ST,ARLINGTON,"$735,475.50"
DAGGS DELI,148 MASS AVE,ARLINGTON,"$957,371.50"
BROADWAY MARKET,94-96 BROADWAY ST,ARLINGTON,"$1,106,749.00"
FENWAY MARKET,203 BROADWAY,ARLINGTON,"$1,110,139.50"
GALAXY MARKET,1348 MASS AVE,ARLINGTON,"$1,228,772.00"
BOYLES FAMILY MARKET,64 BROADWAY,ARLINGTON,"$1,267,346.00"
LITTLE JOES CONV. STORE,206 SUMMER ST,ARLINGTON,"$1,310,773.25"
SYMMES MINI MART,681 MASSACHUSETTS AVENUE,ARLINGTON,"$1,327,662.00"
MASS CONVENIENCE,86 WARREN ST,ARLINGTON,"$1,721,446.75"
PETER PAN SUPERETTE,2 PARK AVE,ARLINGTON,"$1,945,215.50"
MASS CONVENIENCE,245 MASS AVE,ARLINGTON,"$1,984,488.75"
EASY CONVENIENCE,935 MASS AVE,ARLINGTON,"$2,092,761.75"
ASHBURNHAM HARDWARE,41 MAIN STREET,ASHBURNHAM,"$12,687.00"
TURNPIKE ROD & GUN CLUB,94 COREY HILL RD,ASHBURNHAM,"$106,559.00"
ASHBURNHAM MARKET PLACE,50 REAR MAIN ST,ASHBURNHAM,"$115,814.50"
AMER LEGION POST 142,132 WILLIAMS ROAD,ASHBURNHAM,"$129,605.00"
ASHBURNHAM WINE & SPIRITS,3 MEMORIAL DR,ASHBURNHAM,"$148,365.50"
TWEEDOS VARIETY,3 DUNN RD,ASHBURNHAM,"$223,409.00"
MR MIKE'S #323,6 GARDNER RD,ASHBURNHAM,"$504,778.75"
COUNTRYLAND MINI MART,67 MAIN STREET,ASHBURNHAM,"$901,265.00"
ASHBY MARKET,MAIN ST,ASHBY,"$32,908.50"
CONVENIENT MART,1274 MAIN STREET,ASHBY,"$117,430.50"
MR MIKE'S #307,1274 MAIN ST,ASHBY,"$531,249.25"
NEIGHBORS,244 MAIN ST,ASHFIELD,"$262,893.75"
BURNAMS SUPPER HOUSE,366 PLEASANT ST,ASHLAND,"$23,422.00"
RITE AID 10099,399 UNION STREET,ASHLAND,"$31,533.00"
CVS  ATTN:  LOTTERY,47 POND ST,ASHLAND,"$52,895.00"
RITE AID 10098,339 POND STREET,ASHLAND,"$55,499.50"
BRASIL AMERICAN CONV,21 HOMER AVE,ASHLAND,"$66,995.50"
AMERICAN LEGION,40 SUMMER ST,ASHLAND,"$158,673.25"
ASHLAND FISH & GAME,3 PONDEROSA RD,ASHLAND,"$163,666.50"
MARATHON MOBIL,103 WEST UNION ST,ASHLAND,"$167,308.25"
ALLTOWN #2724,272 POND ST,ASHLAND,"$193,300.50"
SPEEDWAY #2449,196 POND ST,ASHLAND,"$311,675.00"
MARKET BASKET #46,49 POND ST,ASHLAND,"$327,966.50"
SUNNYSIDE LIQUORS,7 POND ST,ASHLAND,"$333,971.75"
EXXCEL OIL,119 POND ST,ASHLAND,"$347,979.50"
CHE'S LIQUORS,300 ELIOT ST,ASHLAND,"$348,465.00"
ASHLAND PUBLIC MARKET,197 MAIN ST,ASHLAND,"$351,638.75"
FARMER'S RAM MARKET,5 HOMER AVE,ASHLAND,"$388,434.75"
HANTO,380 UNION ST,ASHLAND,"$457,317.25"
ASHLAND ALE HOUSE,23 POND STREET RT 126,ASHLAND,"$468,126.50"
ASHLAND SHELL #74,123 UNION ST,ASHLAND,"$502,195.50"
ASHLAND MEMORIAL ASSN,311 PLEASANT ST,ASHLAND,"$511,002.75"
SHAWS 1419,301 POND ST,ASHLAND,"$610,022.50"
CHERRY BLOSSOM,80 UNION ST,ASHLAND,"$741,320.00"
TJS FOOD/SPIRITS,355 W UNION ST. RT-135,ASHLAND,"$1,483,174.75"
LUCKY FARMS,1 WEST UNION ST,ASHLAND,"$1,718,894.00"
E-Z CONVENIENT FOOD,69 POND ST,ASHLAND,"$2,235,715.25"
ASHLAND CONV STORE,72 UNION ST RT 135,ASHLAND,"$2,343,574.00"
GRANDPAS PLACE,9 S MAIN ST,ASSONET,"$908,090.25"
JUNIOR'S CONVIENCE STORE,58 S MAIN ST,ASSONET,"$1,090,584.75"
CIRCLE K #7516,68 S MAIN ST,ASSONET,"$2,033,379.25"
RITE AID 10075,1640 S MAIN ST,ATHOL,"$47,914.00"
MARKET BASKET #78,1125 TEMPLETON RD,ATHOL,"$310,157.25"
STAN'S LIQUOR MART,1586 SOUTH MAIN ST RT2A,ATHOL,"$324,290.50"
UPTOWN PACKAGE,174 MARKET ST,ATHOL,"$412,828.25"
LARRYS VARIETY,1503 MAIN ST,ATHOL,"$429,441.50"
HANNAFORD #8385,150 NEW ATHOL RD,ATHOL,"$452,753.25"
ATHOL GENERAL STORE,390 CRESCENT ST,ATHOL,"$467,785.00"
CONWAY PETRO,1590 MAIN STREET,ATHOL,"$575,487.75"
THE STEEL PUB,11 EXCHANGE STREET,ATHOL,"$630,909.25"
CORNER STORE,229 PINEDALE AVE,ATHOL,"$721,137.25"
ATHOL SPIRITS,11 TUNNEL ST,ATHOL,"$729,661.75"
MR MIKE'S #310,2143 MAIN ST,ATHOL,"$741,275.25"
CUMBERLAND #6688,297 MAIN ST,ATHOL,"$1,230,546.25"
CUMBERLAND #6706,1304 SO MAIN STREET,ATHOL,"$1,525,209.00"
LARRY'S VARIETY,1503 MAIN ST,ATHOL,"$1,560,279.50"
COUNTRY CONVENIENCE,49 S MAIN ST,ATHOL,"$2,060,883.25"
PATRIOT LIQUOR MART,185 PLEASANT ST,ATTLEBORO,$317.00
MUTUAL MART,19 PLEASANT STREET,ATTLEBORO,"$1,667.75"
LIQUOR MART,15 HIGHLAND AVE,ATTLEBORO,"$45,039.50"
SAKURA,809 WASHINGTON STREET,ATTLEBORO,"$51,827.00"
NGM GAS,584 WASHINGTON STREET,ATTLEBORO,"$61,282.00"
BAY STATE CHECK EXPRESS,1037 WASHINGTON ST,ATTLEBORO,"$69,687.00"
BPO ELKS #1014,887 SO MAIN ST,ATTLEBORO,"$76,629.50"
PLEASANT AUTO CENTER,676 PLEASANT ST,ATTLEBORO,"$77,655.00"
RITE AID 10195,1099 WASHINGTON ST,ATTLEBORO,"$82,926.75"
7-ELEVEN 35293-B,15 HIGHLAND AVE,ATTLEBORO,"$120,566.50"
ATTLEBORO SHELL,182 PLEASANT ST,ATTLEBORO,"$136,516.25"
CITY SPIRITS II,524 PLEASANT STREET,ATTLEBORO,"$148,127.50"
JR'S BAR & GRILL,147 PINE ST,ATTLEBORO,"$156,222.75"
ATTLEBORO MOOSE LODG,241 THACHER ST,ATTLEBORO,"$177,781.75"
COUNTY SQUARE BEVERAGE,412 THACHER ST,ATTLEBORO,"$192,618.75"
NAP'S PACKAGE STORE,267 PARK ST,ATTLEBORO,"$205,522.00"
CITY SPIRITS,74 PARK ST,ATTLEBORO,"$209,832.75"
CASSEYS GRIDIRON SPORTS,220 ONEIL BLVD,ATTLEBORO,"$223,576.00"
ETC LOUNGE,173 WESTMINSTER ST,ATTLEBORO,"$239,969.00"
COZY MINI MART,1 NORTH AVE,ATTLEBORO,"$240,288.00"
MARKET BASKET #76,1200 NEWPORT AVE,ATTLEBORO,"$359,999.75"
TWIN LIQUORS,827 SOUTH MAIN STREET,ATTLEBORO,"$370,302.00"
MUTUAL MART,19 PLEASANT ST,ATTLEBORO,"$376,092.00"
SEABRA FOODS,217 SOUTH MAIN ST,ATTLEBORO,"$380,347.75"
SPEEDWAY #2433,946 WASHINGTON ST,ATTLEBORO,"$392,019.75"
SINGAPORE CHINESE RESTAURANT,111 PLEASANT STREET,ATTLEBORO,"$425,621.25"
JOE'S MARKET,245A S MAIN STREET,ATTLEBORO,"$443,914.50"
ROUTE 1 GAS,765 WASHINGTON ST,ATTLEBORO,"$590,634.00"
PLEASANT ST BAR & GRILL,50 PLEASANT ST,ATTLEBORO,"$615,367.00"
DODGEVILLE COUNTRY STORE,408 S MAIN ST,ATTLEBORO,"$628,728.50"
STOP & SHOP #432,467 PLEASANT ST,ATTLEBORO,"$646,151.00"
TRIPLE PLAY MOBIL,106 WASHINGTON ST,ATTLEBORO,"$703,631.25"
COZY MINI MART,1 NORTH AVE,ATTLEBORO,"$725,339.25"
CUMBERLAND #0223,220 PLEASANT STREET,ATTLEBORO,"$752,514.75"
RICHDALE CONVENIENCE,110 NORTH MAIN STREET,ATTLEBORO,"$789,404.50"
CUMBERLAND #0135,1128 OAKHILL AVE,ATTLEBORO,"$885,851.25"
SUN MARKET,9 UNION ST,ATTLEBORO,"$915,373.50"
CUMBERLAND #0144,80 COUNTY & WALL ST,ATTLEBORO,"$1,025,961.25"
CUMBERLAND #0049,290 COUNTY ST,ATTLEBORO,"$1,067,408.50"
NOURIA #4002,227 SOUTH AVE,ATTLEBORO,"$1,073,699.75"
BRIGGS CORNER STORE,1503 PARK ST,ATTLEBORO,"$1,114,151.75"
CUMBERLAND #6771,633 WASHINGTON ST,ATTLEBORO,"$1,264,286.00"
ATTLEBORO CONVENIENCE,850 WASHINGTON STREET,ATTLEBORO,"$1,729,233.00"
GAS PLUS,80 PLEASANT ST,ATTLEBORO,"$1,790,437.75"
BORDER BETS & BUTTS,661 WASHINGTON ST,ATTLEBORO,"$2,362,427.25"
DAIRY CAROUSEL,220 S MAIN ST,ATTLEBORO,"$2,984,834.50"
SOUTH SIDE VARIETY,173B WESTMINSTER ST,ATTLEBORO,"$3,814,274.25"
VISTA DONUTS,1096 WASHINGTON ST,ATTLEBORO,"$6,216,549.50"
GRAFTON STREET CONVENIENCE,860 SOUTHBRIDGE STREET,AUBURN,$442.00
HARSS EXPRESS,860 SOUTHBRIDGE STREET,AUBURN,"$57,273.25"
CHUCK'S STEAK HOUSE,10 PROSPECT ST,AUBURN,"$140,178.00"
COLONY FARMS,710 SOUTHBRIDGE ST,AUBURN,"$141,926.50"
HALLIGAN'S ROYAL LOUNGE,889 SOUTHBRIDGE ST,AUBURN,"$145,179.75"
BJ'S WHOLESALE #38,777 WASHINGTON ST,AUBURN,"$159,347.75"
AUBURN ELKS,754 SOUTHBRIDGE ST,AUBURN,"$201,857.00"
MASS DISCOUNT LIQUORS,844 SOUTHBRIDGE ST,AUBURN,"$238,812.25"
COLONY LIQUORS & WINE,683 SOUTHBRIDGE ST,AUBURN,"$295,804.25"
AUBURN SHELL,712 SOUTHBRIDGE ST,AUBURN,"$331,522.00"
V & D VARIETY,143 N OXFORD ST,AUBURN,"$352,633.75"
NOURIA #4003,611 SOUTHBRIDGE ST,AUBURN,"$398,646.50"
GREIGE SUMMIT,321 SOUTHBRIDGE STREET,AUBURN,"$454,189.00"
SHAWS 4471,368 SOUTHBRIDGE ST,AUBURN,"$509,620.50"
G & J LIQUORS,87 SOUTHBRIDGE STREET,AUBURN,"$512,561.75"
